,text,airline_sentiment,clean_text,processed_text
0,@VirginAmerica What @dhepburn said.,neutral, what  sai,sai
1,@VirginAmerica plus you've added commercials to the experience... tacky.,positive, plus youve ae commercials to the experience tacky,plusyouveaecommercialsexperiencetacky
2,@VirginAmerica I didn't today... Must mean I need to take another trip!,neutral, i int toay must mean i nee to take another trip,inttoaymustmeanneetakeanothertrip
3,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",negative, its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,reallyaggressiveblastobnoxiousentertainmentguestsfacesamplittlerecourse
4,@VirginAmerica and it's a really big bad thing about it,negative, an its a really big ba thing about it,reallybigbathing
5,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",negative," seriously woul pay 30 a flight for seats that int have this playing
its really the only ba thing about flying va",seriouslywoulpay30flightseatsintplayingreallybathingflyingva
6,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",positive, yes nearly every time i fly vx this ear worm wont go away ,yesnearlyeverytimeflyvxearwormwontgoaway
7,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",neutral, really misse a prime opportunity for men without hats paroy there ,reallymisseprimeopportunitymenwithouthatsparoy
8,"@virginamerica Well, I didn't…but NOW I DO! :-D",positive, well i intbut now i o ,wellintbut
9,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",positive, it was amazing an arrive an hour early youre too goo to me,amazingarrivehourearlyyouregoo
10,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,neutral, i you know that suicie is the secon leaing cause of eath among teens 1024,knowsuicieseconleaingcauseeathamongteens1024
11,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,positive, i lt3 pretty graphics so much better than minimal iconography ,lt3prettygraphicsmuchbetterminimaliconography
12,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,positive, this is such a great eal alreay thinking about my 2n trip to  amp i havent even gone on my 1st trip yet p,greatealalreaythinking2ntripamphaventevengone1sttripyetp
13,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,positive,  im flying your   skies again u take all the  away from travel httptcoahlxhhkiyn,imflyingskiesutakeawaytravelhttptcoahlxhhkiyn
14,@VirginAmerica Thanks!,positive, thanks,thanks
15,@VirginAmerica SFO-PDX schedule is still MIA.,negative, sfopx scheule is still mia,sfopxscheulestillmia
16,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,positive, so excite for my first cross country flight lax to mco ive hear nothing but great things about virgin america ,excitefirstcrosscountryflightlaxmcoivehearnothinggreatthingsvirginamerica
17,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,negative,  i flew from nyc to sfo last week an coulnt fully sit in my seat ue to two large gentleman on either sie of me help,flewnycsfolastweekcoulntfullysitseatuetwolargegentlemaneithersiehelp
18,I ❤️ flying @VirginAmerica. ☺️👍,positive,i  flying  ,flying
19,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,positive, you know what woul be amazingly awesome bosfll please i want to fly with only you,knowwoulamazinglyawesomebosfllpleasewantfly
20,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,negative, why are your first fares in may over three times more than other carriers when all seats are available to select,firstfaresmaythreetimescarriersseatsavailableselect
21,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,positive, i love this graphic httptcout5grrwaaa,lovegraphichttptcout5grrwaaa
22,@VirginAmerica I love the hipster innovation. You are a feel good brand.,positive, i love the hipster innovation you are a feel goo bran,lovehipsterinnovationfeelgoobran
23,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,neutral, will you be making bosgtlas non stop permanently anytime soon,makingbosgtlasnonstoppermanentlyanytimesoon
24,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,negative, you guys messe up my seating i reserve seating with my friens an you guys gave my seat away   i want free internet,guysmesseseatingreserveseatingfriensguysgaveseatawaywantfreeinternet
25,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,negative, status match program  i applie an its been three weeks  calle an emaile with no response,statusmatchprogramappliethreeweekscalleemaileresponse
26,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,negative, what happene 2 ur vegan foo options at least say on ur site so i know i wont be able 2 eat anything for next 6 hrs ,happene2urveganfoooptionsleastsayursiteknowwontable2eatanythingnext6hrs
27,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral, o you miss me ont worry well be together very soon,missontworrywelltogethersoon
28,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,negative, amazing to me that we cant get any col air from the vents     ,amazingcantgetcolairvents
29,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,neutral, lax to ewr  mile seat on a re eye such a noob maneuver  ,laxewrmileseateyenoobmaneuver
30,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative, hi i just bke a cool birthay trip with you but i cant a my elevate no cause i entere my mile name uring flight booking problems ,hibkecoolbirthaytripcantelevatecauseenteremilenameuringflightbookingproblems
31,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,neutral, are the hours of operation for the club at sfo that are poste online current,hoursoperationclubsfoposteonlinecurrent
32,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",negative, help left expensive heaphones on flight 89 ia to lax toay seat 2a no one answering lampf number at lax,helpleftexpensiveheaphonesflight89ialaxtoayseat2aoneansweringlampfnumberlax
33,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative, awaiting my return phone call just woul prefer to use your online selfservice option ,awaitingreturnphonecallwoulpreferuseonlineselfserviceoption
34,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,positive, this is great news  america coul start flights to hawaii by en of year httptcor8p2zy3fe4 via ,greatnewsamericacoulstartflightshawaiienyearhttptcor8p2zy3fe4via
35,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,neutral,nice rt  vibe with the moolight from takeoff to touchown   httptcoy7o0unxtqp,nicertvibemoolighttakeofftouchownhttptcoy7o0unxtqp
36,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,positive, moolighting is the only way to fly best experience ever cool an calming  ,moolightingwayflybestexperienceevercoolcalming
37,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive,  one an one best airline aroun hans own,oneonebestairlinearounhans
38,@VirginAmerica when can I book my flight to Hawaii??,neutral, when can i book my flight to hawaii,bookflighthawaii
